GROUPAMA ENTREPRISES R;DEU FLOATING RATE NOTES-TFC;PICTET USD SHORT MID TERM;FON/03/CH;ROBECO GLO CR SHT MAT-IH EUR;/03/ch Green Transition Bond;Robeco Climate Bond;JUPITER DYNAMIC BOND;/03/CH INTL-FAMILY BUSINESS;AMU CPR BANCA /03/CH IMP-REUR;Harrris Associates Global Equity;POLEN FOCUS US GROWTH-EUR IN;ROBECO BP US PREMIUM EQ/F;ELEVA EUROPEAN SELECTION;ROBECO SUS EUR STARS EQ-FEUR;ABERDEEN ASIA PAC EQUITY;GQG PARTNERS EM MKT EQ-I EUR;Fidelity Global Financials;M&G LUX GLOBAL LIST INF-ECIA;/03/CH NEXT G/01/RATION;NEUBERGER BERMAN UNCORRELATED STRATEGIES;DNCA INVEST ALPHA BONDS;/03/ch Alternative Strategies
495,42;99,46;122,57;10,14;104,48;10;98,35;13,94;12,11;114,13;131,94;20,97;305,61;168,52;179,95;17,47;14,15;;15,133;13,38;9,7;104,93;9,933
495,46;99,46;122,25;10,13;104,32;10;97,67;13,81;12,23;115,89;135,49;20,61;312,72;169,93;180,21;17,97;14,59;;14,842;13,52;9,79;105,31;9,962
495,51;99,46;121,65;10,13;104,28;10;97,57;13,79;12,16;115,08;135,16;20,29;307,98;170,22;181,78;17,94;14,59;;14,943;13,38;9,74;105,04;9,949
495,56;99,47;121,55;10,13;104,34;10;97,52;13,75;12,18;115,22;135,26;19,9;304,58;170;182,07;17,98;14,59;;15,119;13,2;9,72;104,99;9,95
495,6;99,47;119,4;10,13;104,52;10;97,63;13,78;12,1;113,6;134,73;19,6;307,2;167,78;179,44;18,17;14,44;;14,902;13,05;9,69;105,16;9,969
495,65;99,47;119,67;10,11;104,37;10;96,96;13,67;12,06;113,18;135,36;18,99;309,63;166,46;177,96;18,18;14,49;;14,617;12,83;9,73;104,84;9,951
495,7;99,46;119,08;10,11;104,37;10;97,02;13,65;11,84;112,68;133,07;19,25;306,09;165,19;176,09;18,08;14,17;;14,463;12,86;9,74;104,61;9,94
495,74;99,46;118,88;10,09;104,26;10;96,79;13,58;11,71;111,75;130,89;19,06;302,97;164;176,61;17,67;13,76;;14,336;12,62;9,7;104,32;9,929
495,77;99,46;119,71;10,09;104,24;10;96,67;13,58;11,77;112,23;131,99;18,59;304,92;163,93;174,25;17,41;13,53;;14,416;12,42;9,69;104,52;9,939
495,84;99,46;120,38;10,11;104,32;10;97,24;13,64;11,79;113,49;132,64;19,18;307,43;163,65;175,03;17,81;13,93;;14,401;12,75;9,75;104,32;9,951
